transaction_id,trans_date_trans_time,card_number,merchant_name,merchant_category,transaction_amount,gender,transaction_location,Cities,State,dob,fraud_flag
806,21-06-2020,6010000000000000.0,fraud_White and Sons,6,98.7,0,030 Seth Divide Suite 355,747,35,01-09-1971,0
1723,21-06-2020,4360000000000000.0,fraud_Howe PLC,0,124.68,1,03512 Jackson Ports,625,32,12-03-1997,0
1724,21-06-2020,373000000000000.0,fraud_Torphy-Goyette,12,97.43,0,4293 Ramirez Squares,618,22,20-02-2000,0
1725,21-06-2020,3590000000000000.0,"fraud_Lubowitz, Terry and Stracke",10,15.57,1,296 Maria Street,786,33,28-12-1963,0
1726,21-06-2020,3600000000000000.0,fraud_Torphy-Kertzmann,5,123.37,0,23843 Scott Island,71,11,25-03-1988,0
1727,21-06-2020,2710000000000000.0,fraud_Heaney-Marquardt,0,106.9,0,50872 Alex Plain Suite 088,50,17,22-02-1977,0
1728,21-06-2020,30200000000000.0,fraud_Ullrich Ltd,7,62.47,1,172 Paula Inlet Apt. 650,171,42,19-04-1953,0
1729,21-06-2020,3520000000000000.0,"fraud_Hettinger, McCullough and Fay",6,59.55,0,67210 Lori Creek,685,42,11-09-1970,0
141890,10-08-2020,30200000000000.0,"fraud_Swaniawski, Lowe and Robel",12,862.53,0,5395 Colon Burgs Suite 037,736,42,02-01-1976,1
1730,21-06-2020,6010000000000000.0,"fraud_Hyatt, Russel and Gleichner",5,16.54,1,0912 Mark Fields Apt. 080,458,37,01-07-1997,0
1731,21-06-2020,6010000000000000.0,fraud_Jakubowski Inc,6,79.67,0,3379 Williams Common,412,5,31-07-1975,0
1732,21-06-2020,4.81e+18,"fraud_Effertz, Welch and Schowalter",0,164.25,0,433 Blake Roads Suite 967,803,23,31-08-1985,0
1733,21-06-2020,6010000000000000.0,fraud_Cartwright PLC,7,20.29,0,950 Sheryl Spurs,210,37,05-02-1951,0
1734,21-06-2020,2700000000000000.0,"fraud_Schiller, Blanda and Johnson",6,150.87,0,561 Perry Cove,486,26,09-03-1988,0
1735,21-06-2020,4260000000000.0,"fraud_Mante, Luettgen and Hackett",5,2.79,0,0374 Courtney Islands Apt. 400,189,16,04-08-1997,0
1736,21-06-2020,5000000000000000.0,fraud_Hamill-D'Amore,5,32.4,0,598 Martin Pine Suite 365,661,22,06-08-1971,0
1737,21-06-2020,4.97e+18,fraud_Reilly LLC,6,68.44,0,8986 Fitzgerald Plains,814,2,27-09-1965,0
1738,21-06-2020,4470000000000000.0,fraud_Lind-Buckridge,0,104.02,1,168 Michael Coves Suite 343,365,4,09-09-1927,0
1739,21-06-2020,4.29e+18,fraud_Barrows PLC,12,184.42,1,135 Joseph Mountains,720,25,16-08-1995,0
1740,21-06-2020,30500000000000.0,fraud_Eichmann-Kilback,6,60.05,0,180 Graves Shore,674,39,04-05-1973,0
1741,21-06-2020,4510000000000000.0,fraud_Padberg-Rogahn,0,99.27,0,9870 Collins Flat,399,49,02-09-1988,0
1742,21-06-2020,4750000000000.0,fraud_Bins-Tillman,0,129.48,0,6114 Adams Harbor Suite 096,376,14,07-10-1998,0
1743,21-06-2020,3550000000000000.0,fraud_Fritsch and Sons,5,4.7,1,886 Nicole Key,716,35,01-05-1948,0
1744,21-06-2020,6010000000000000.0,"fraud_Douglas, Schneider and Turner",12,25.91,0,594 Berry Lights Apt. 392,810,26,08-02-1983,0
1745,21-06-2020,4600000000000000.0,"fraud_Hahn, Bahringer and McLaughlin",10,6.88,0,00315 Ashley Valleys,108,15,18-11-1997,0
1746,21-06-2020,4330000000000000.0,fraud_Berge-Ullrich,6,52.09,0,927 Cummings Manor Suite 318,280,47,06-05-1981,0
1747,21-06-2020,4630000000000000.0,fraud_Bailey-Morar,4,50.84,0,90662 Lewis Avenue,610,38,29-11-1995,0
1748,21-06-2020,502000000000.0,fraud_Douglas-White,0,17.15,1,709 George Underpass Apt. 080,785,37,04-05-1962,0
1749,21-06-2020,676000000000.0,fraud_Lynch-Mohr,13,1214.23,0,8699 Lindsay Ford Apt. 486,508,4,21-08-1985,0
1750,21-06-2020,3520000000000000.0,"fraud_Weimann, Kuhic and Beahan",12,8.04,0,08236 Kim Hill,348,14,30-11-1975,0
1751,21-06-2020,3590000000000000.0,fraud_Ratke and Sons,5,3.06,0,000 Jennifer Mills,352,46,29-02-1984,0
1752,21-06-2020,373000000000000.0,"fraud_Runolfsdottir, Mueller and Hand",0,77.47,0,4293 Ramirez Squares,618,22,20-02-2000,0
1753,21-06-2020,676000000000.0,fraud_Brown Inc,7,103.44,0,6682 Green Forks,550,30,13-03-1994,0
1754,21-06-2020,213000000000000.0,"fraud_Moore, Williamson and Emmerich",6,116.15,1,822 Austin Spur,531,14,07-10-1959,0
1755,21-06-2020,4.5e+18,"fraud_Reichert, Huels and Hoppe",11,124.13,0,670 Le Meadows Suite 250,392,8,03-07-1979,0
1756,21-06-2020,6010000000000000.0,fraud_Skiles LLC,6,37.65,0,030 Seth Divide Suite 355,747,35,01-09-1971,0
1757,21-06-2020,30400000000000.0,"fraud_Boehm, Predovic and Reinger",9,3.87,0,79816 Jackson Squares,681,36,08-07-1995,0
1758,21-06-2020,6010000000000000.0,"fraud_Zemlak, Tillman and Cremin",10,28.54,0,19838 Tonya Prairie Apt. 947,641,23,26-10-1988,0
1759,21-06-2020,4840000000000000.0,fraud_Zboncak LLC,1,51.9,0,516 Brown Parks,437,21,12-04-1979,0
1760,21-06-2020,502000000000.0,fraud_Shanahan-Lehner,10,7.87,0,06393 Nancy Parkways Suite 855,255,1,08-01-1970,0
1761,21-06-2020,3500000000000000.0,fraud_Kassulke Inc,0,17.2,0,08056 Alvarado Club Suite 699,588,3,30-11-1999,0
1762,21-06-2020,2300000000000000.0,fraud_Frami Group,0,23.85,0,4970 Michelle Burgs,98,33,01-09-1999,0
1763,21-06-2020,340000000000000.0,fraud_Bode-Schuster,7,127.27,0,9047 Rodriguez Turnpike,263,26,09-02-1934,0
1764,21-06-2020,38800000000000.0,fraud_Abshire PLC,0,88.19,1,583 Gray Creek,543,33,12-12-1971,0
1765,21-06-2020,38900000000000.0,fraud_Medhurst Inc,6,42.03,1,594 White Dale Suite 530,433,12,19-01-1962,0
1766,21-06-2020,30100000000000.0,"fraud_Crist, Jakubowski and Littel",6,58.73,0,44197 Jeffrey Port Suite 050,91,30,17-08-1980,0
1767,21-06-2020,6560000000000000.0,"fraud_Rodriguez, Yost and Jenkins",8,780.52,1,619 Jeremy Garden Apt. 681,64,47,10-09-1958,1
1768,21-06-2020,2250000000000000.0,fraud_Pollich LLC,6,52.65,0,382 Williams Stream Suite 197,675,19,26-03-1976,0
1769,21-06-2020,6010000000000000.0,fraud_Stamm-Rodriguez,9,4.84,1,0912 Mark Fields Apt. 080,458,37,01-07-1997,0
1770,21-06-2020,4710000000000000.0,fraud_Goyette-Gerhold,7,323.1,1,3326 Hannah Fords,157,2,08-09-1938,0
1771,21-06-2020,3580000000000000.0,fraud_Yost-Rogahn,10,64.92,0,72269 Elizabeth Field Apt. 132,588,3,24-10-1981,0
1772,21-06-2020,5100000000000000.0,fraud_Mohr Inc,12,4.32,0,641 Steven Mall Apt. 299,798,33,08-07-1978,0
1773,21-06-2020,676000000000.0,fraud_Altenwerth-Kilback,6,36.74,1,1198 Robert Stravenue Apt. 479,28,33,16-03-1964,0
1774,21-06-2020,3500000000000000.0,fraud_Kihn-Schuster,1,95.52,1,0611 Stafford Valley Suite 504,509,8,02-01-1979,0
1775,21-06-2020,6010000000000000.0,fraud_Turner LLC,13,7.73,1,210 Dean Causeway Suite 130,14,11,19-12-2001,0
1776,21-06-2020,4.56e+18,fraud_Predovic Inc,11,15.56,0,20581 Pena Walks,151,5,09-05-1992,0
1777,21-06-2020,630000000000.0,"fraud_Okuneva, Schneider and Rau",12,5.75,0,561 Little Plain Apt. 738,800,21,12-06-1972,0
1778,21-06-2020,30200000000000.0,"fraud_Hettinger, McCullough and Fay",6,21.4,0,0665 Lisa Alley,813,22,07-06-1966,0
1779,21-06-2020,6010000000000000.0,fraud_Stiedemann Ltd,1,76.08,0,19838 Tonya Prairie Apt. 947,641,23,26-10-1988,0
1780,21-06-2020,344000000000000.0,"fraud_Bernhard, Grant and Langworth",12,8.13,1,836 Stephanie Union,124,21,11-10-1975,0
1781,21-06-2020,6560000000000000.0,fraud_Nienow PLC,0,620.33,1,619 Jeremy Garden Apt. 681,64,47,10-09-1958,1
1782,21-06-2020,213000000000000.0,"fraud_Roob, Conn and Tremblay",12,5.5,1,725 Jo Trace Apt. 102,267,4,30-07-1982,0
1783,21-06-2020,213000000000000.0,"fraud_Bahringer, Bergnaum and Quitzon",6,81.81,1,83359 Lopez Point,143,37,04-10-1978,0
1784,21-06-2020,4010000000000000.0,"fraud_Heathcote, Yost and Kertzmann",11,1077.69,1,458 Phillips Island Apt. 768,193,17,31-05-1994,1
1785,21-06-2020,213000000000000.0,"fraud_Mante, Luettgen and Hackett",5,160.83,0,682 Mills Way Apt. 814,651,42,10-12-1954,0
1786,21-06-2020,3530000000000000.0,fraud_Stamm-Witting,11,8.36,0,128 Nathan Ramp,46,33,01-03-1994,0
224319,08-09-2020,4620000000000.0,"fraud_Moen, Reinger and Murphy",4,351.27,1,9379 Vanessa Run Apt. 400,417,11,15-07-1954,1
1787,21-06-2020,3570000000000000.0,fraud_Dibbert and Sons,0,163.38,0,47029 Jimmy Tunnel Apt. 106,520,4,25-04-1971,0
1788,21-06-2020,630000000000.0,fraud_Fadel-Hilpert,5,30.42,1,411 Laurie Fords,119,48,14-03-1970,0
1789,21-06-2020,180000000000000.0,"fraud_Mante, Luettgen and Hackett",5,9.45,0,872 Justin Views Suite 746,209,24,03-04-1955,0
1790,21-06-2020,3600000000000000.0,fraud_Ullrich Ltd,7,64.71,0,17667 Price Spur Apt. 366,266,37,08-03-1952,0
1791,21-06-2020,4260000000000.0,fraud_Buckridge PLC,9,144.8,0,0374 Courtney Islands Apt. 400,189,16,04-08-1997,0
1792,21-06-2020,371000000000000.0,"fraud_Graham, Hegmann and Hammes",1,5.28,0,1004 Willis Pass,312,42,24-05-1976,0
1793,21-06-2020,3580000000000000.0,fraud_Zboncak Ltd,1,57.81,1,622 Robert Summit,4,34,15-03-1964,0
1794,21-06-2020,4560000000000.0,fraud_Waelchi-Wolf,7,88.05,0,166 Lisa Fords,284,14,10-02-1968,0
1795,21-06-2020,4070000000000000.0,fraud_Hoppe-Parisian,7,14.12,0,3256 Brooks Field,225,1,12-11-1986,0
1796,21-06-2020,376000000000000.0,fraud_Hills-Boyer,10,25.45,0,94431 Matthew Mall Suite 296,593,6,06-04-1973,0
1797,21-06-2020,3580000000000000.0,fraud_Kris-Padberg,12,59.64,0,9486 Joel Common Suite 554,743,15,30-12-2004,0
1798,21-06-2020,4720000000000000.0,fraud_Feil-Morar,5,64.74,0,11014 Chad Lake Apt. 573,311,25,04-05-1972,0
1799,21-06-2020,375000000000000.0,"fraud_Weber, Thiel and Hammes",7,48.89,1,61390 Hayes Port,643,21,05-11-1971,0
1800,21-06-2020,213000000000000.0,fraud_Hilpert-Conroy,7,1.53,1,7055 Fernandez Estates Apt. 676,123,19,14-01-1969,0
1801,21-06-2020,4.59e+18,"fraud_Parker, Nolan and Trantow",0,60.66,0,6296 John Keys Suite 858,583,13,08-05-2004,0
1802,21-06-2020,4630000000000000.0,fraud_Douglas-White,0,180.68,0,90662 Lewis Avenue,610,38,29-11-1995,0
1803,21-06-2020,375000000000000.0,"fraud_Baumbach, Feeney and Morar",11,3.97,1,1499 Michael Rue,26,44,03-07-1984,0
1804,21-06-2020,2220000000000000.0,fraud_Larson-Moen,0,17.6,0,6014 Thomas Throughway,745,42,26-02-1987,0
1805,21-06-2020,3560000000000000.0,"fraud_Schiller, Blanda and Johnson",6,139.17,1,572 Davis Mountains,390,42,27-12-1999,0
1806,21-06-2020,4590000000000.0,"fraud_Eichmann, Hayes and Treutel",13,6.26,0,0362 Anderson Wall,493,23,20-01-1953,0
1807,21-06-2020,2290000000000000.0,fraud_Kassulke PLC,11,1.06,1,17819 Jose Mount Suite 657,314,24,15-02-1988,0
1808,21-06-2020,4940000000000000.0,fraud_Deckow-Dare,1,79.2,0,3531 Hamilton Highway,642,42,07-11-1990,0
1809,21-06-2020,345000000000000.0,"fraud_Haley, Jewess and Bechtelar",12,5.17,0,2924 Bobby Trafficway,678,8,30-01-1986,0
1810,21-06-2020,2250000000000000.0,"fraud_Hahn, Bahringer and McLaughlin",10,81.08,0,382 Williams Stream Suite 197,675,19,26-03-1976,0
1811,21-06-2020,376000000000000.0,fraud_Auer-West,11,6.87,0,372 Jeffrey Course,726,28,11-02-1982,0
1812,21-06-2020,3530000000000000.0,"fraud_Runolfsdottir, Mueller and Hand",0,79.8,0,71309 Martinez Stravenue,377,41,14-02-1987,0
1813,21-06-2020,562000000000.0,"fraud_Denesik, Powlowski and Pouros",6,28.94,0,330 Montoya Ramp,772,7,14-03-1986,0
226242,10-09-2020,377000000000000.0,fraud_Mante Group,8,869.31,1,169 Shelia Knoll Suite 753,821,42,03-12-1985,1
1814,21-06-2020,3580000000000000.0,fraud_Pacocha-Bauch,12,51.78,0,147 Mckinney Run Apt. 743,222,39,08-10-1992,0
1815,21-06-2020,30200000000000.0,fraud_Bernhard-Lesch,1,45.48,1,5930 Rebecca Bridge Apt. 444,565,1,19-06-1966,0
1816,21-06-2020,6010000000000000.0,fraud_Gibson-Deckow,0,33.89,0,3379 Williams Common,412,5,31-07-1975,0
1817,21-06-2020,373000000000000.0,"fraud_Brown, Homenick and Lesch",5,32.41,0,26544 Andrea Glen,268,21,18-06-1985,0
1818,21-06-2020,342000000000000.0,"fraud_Langosh, Wintheiser and Hyatt",1,2.34,0,334 Adam Mountains Apt. 868,440,44,19-06-1999,0
1819,21-06-2020,3580000000000000.0,fraud_Kuhn Group,1,58.45,0,9486 Joel Common Suite 554,743,15,30-12-2004,0
1820,21-06-2020,4930000000000000.0,fraud_Streich Ltd,6,141.81,0,83685 Matthew Center Suite 870,130,2,07-06-1977,0
1821,21-06-2020,2230000000000000.0,fraud_Nolan-Williamson,7,14.13,0,67089 Caitlin Meadow Apt. 905,719,24,16-01-1960,0
1822,21-06-2020,3520000000000000.0,fraud_Hirthe-Beier,5,77.28,1,43809 Kenneth Circles Suite 152,755,48,16-10-1941,0
1823,21-06-2020,3560000000000000.0,"fraud_Weber, Thiel and Hammes",7,15.91,1,524 Wu Spurs Suite 894,497,1,01-02-1955,0
1824,21-06-2020,30200000000000.0,fraud_Erdman-Durgan,5,83.11,0,5395 Colon Burgs Suite 037,736,42,02-01-1976,0
1825,21-06-2020,60422928733.0,fraud_Baumbach Ltd,10,17.03,1,38352 Parrish Road Apt. 652,528,39,02-04-1942,0
1826,21-06-2020,2260000000000000.0,"fraud_Berge, Kautzer and Harris",10,10.21,1,5939 Garcia Forges Suite 297,664,42,17-10-1995,0
1827,21-06-2020,3540000000000000.0,fraud_Gleason and Sons,7,52.02,1,94975 David Mews Apt. 316,721,42,19-06-1992,0
1828,21-06-2020,30200000000000.0,fraud_Hermann and Sons,12,12.49,0,9727 Deleon Mountain,166,26,19-09-1987,0
1829,21-06-2020,343000000000000.0,"fraud_Ritchie, Oberbrunner and Cremin",13,3.76,0,234 Bridges Wells Apt. 389,126,29,05-08-1971,0
1830,21-06-2020,6010000000000000.0,fraud_Kassulke PLC,11,1.57,0,030 Seth Divide Suite 355,747,35,01-09-1971,0
1831,21-06-2020,4710000000000000.0,"fraud_Cole, Hills and Jewess",6,4.59,0,9016 Jordan Bypass Apt. 516,165,16,04-02-1967,0
1832,21-06-2020,4160000000000000.0,fraud_Weber and Sons,1,6.36,0,174 Jennifer Meadow Apt. 467,502,35,12-10-1983,0
1833,21-06-2020,180000000000000.0,"fraud_Witting, Beer and Ernser",6,45.83,0,17666 David Valleys,722,4,22-09-1972,0
1834,21-06-2020,6010000000000000.0,fraud_Lind-Buckridge,0,76.87,1,529 Joshua Knoll Apt. 511,420,49,05-07-1981,0
1835,21-06-2020,2300000000000000.0,fraud_Gleason and Sons,7,14.18,0,611 Michael Rue,134,13,13-01-1960,0
1836,21-06-2020,373000000000000.0,fraud_Powlowski-Weimann,1,66.1,1,2064 Tyler Fork,55,42,04-03-1981,0
1837,21-06-2020,4070000000000000.0,fraud_Jast and Sons,1,17.01,0,44089 Carrie Crossing Suite 954,241,42,09-04-1967,0
1838,21-06-2020,2720000000000000.0,fraud_Medhurst PLC,11,4.05,1,854 Walker Dale Suite 488,82,20,22-08-1997,0
1839,21-06-2020,4070000000000000.0,"fraud_Cronin, Kshlerin and Weber",5,348.33,0,3256 Brooks Field,225,1,12-11-1986,0
1840,21-06-2020,376000000000000.0,fraud_Zboncak Ltd,1,52.55,1,408 Bradley Rest,200,44,28-03-1986,0
1841,21-06-2020,180000000000000.0,"fraud_Willms, Kris and Bergnaum",12,9.38,0,17666 David Valleys,722,4,22-09-1972,0
1842,21-06-2020,36900000000000.0,fraud_Emmerich-Rau,10,6.6,0,4503 Patricia Route,463,12,11-02-1971,0
1843,21-06-2020,213000000000000.0,fraud_Fahey Inc,7,57.77,1,39218 Baker Shoals,95,14,10-02-1982,0
1844,21-06-2020,376000000000000.0,fraud_Cormier LLC,5,68.81,0,372 Jeffrey Course,726,28,11-02-1982,0
1845,21-06-2020,630000000000.0,fraud_Hills-Boyer,10,43.41,0,43039 Riley Greens Suite 393,558,46,21-06-1978,0
1846,21-06-2020,3580000000000000.0,"fraud_Parker, Nolan and Trantow",0,18.52,0,9486 Joel Common Suite 554,743,15,30-12-2004,0
1847,21-06-2020,180000000000000.0,fraud_Barton LLC,7,13.62,1,3337 Lisa Divide,662,8,28-02-1989,0
1848,21-06-2020,4720000000000000.0,fraud_Morissette-Schaefer,10,8.84,0,11014 Chad Lake Apt. 573,311,25,04-05-1972,0
234314,13-09-2020,4590000000000.0,"fraud_Stehr, Jewess and Schimmel",8,710.45,0,0362 Anderson Wall,493,23,20-01-1953,1
1849,21-06-2020,373000000000000.0,"fraud_Greenholt, O'Hara and Balistreri",11,3.11,0,26544 Andrea Glen,268,21,18-06-1985,0
1850,21-06-2020,3560000000000000.0,fraud_Morissette LLC,0,74.93,1,70147 Amanda Fields,657,33,15-02-1974,0
1851,21-06-2020,4610000000000000.0,fraud_Homenick LLC,10,2.63,0,3312 Rachel Parks Suite 474,718,33,11-01-1996,0
